qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcovhsp	staxids	sphylums	sgenus	sspecies	stitle
Pcub-MSU1_004_001125.1	XP_009538855.1	65.1	1740	1705	1686	0.0	1829	100	67593	Oomycota	Phytophthora	Phytophthora sojae	XP_009538855.1 hypothetical protein PHYSODRAFT_320063 [Phytophthora sojae]
Pcub-MSU1_004_001125.1	KAG6974455.1	63.8	1708	1705	1696	0.0	1782	99.4	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG6974455.1 hypothetical protein JG687_00000307 [Phytophthora cactorum]
Pcub-MSU1_004_001125.1	KAG4064182.1	63.4	1718	1705	1661	0.0	1781	100	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG4064182.1 hypothetical protein PC123_g1063 [Phytophthora cactorum]
Pcub-MSU1_004_001125.1	KAG6977070.1	63.4	1707	1705	1708	0.0	1779	99.4	2496075	Oomycota	Phytophthora	Phytophthora aleatoria	KAG6977070.1 hypothetical protein JG688_00000721 [Phytophthora aleatoria]
Pcub-MSU1_004_001125.1	KAG2791011.1	63.3	1718	1705	1661	0.0	1776	100	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG2791011.1 hypothetical protein Pcac1_g146 [Phytophthora cactorum]
Pcub-MSU1_004_001125.1	KAG2955408.1	63.3	1718	1705	1661	0.0	1774	100	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG2955408.1 hypothetical protein PC117_g481 [Phytophthora cactorum]
Pcub-MSU1_004_001125.1	KAG3206392.1	63.3	1718	1705	1661	0.0	1774	100	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG3206392.1 hypothetical protein PC128_g803 [Phytophthora cactorum]
Pcub-MSU1_004_001125.1	KAG3035316.1	63.2	1718	1705	1661	0.0	1772	100	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG3035316.1 hypothetical protein PC120_g905 [Phytophthora cactorum]
Pcub-MSU1_004_001125.1	KAG3120697.1	63.0	1718	1705	1660	0.0	1771	100	53986	Oomycota	Phytophthora	Phytophthora idaei	KAG3120697.1 hypothetical protein PI125_g912 [Phytophthora idaei]
Pcub-MSU1_004_001125.1	KAE9046265.1	64.8	1720	1705	1680	0.0	1754	100	129364	Oomycota	Phytophthora	Phytophthora rubi	KAE9046265.1 hypothetical protein PR002_g1754 [Phytophthora rubi]
Pcub-MSU1_004_001125.1	KAE9031453.1	64.7	1720	1705	1680	0.0	1749	100	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE9031453.1 hypothetical protein PF011_g67 [Phytophthora fragariae]
Pcub-MSU1_004_001125.1	KAE8883447.1	64.7	1720	1705	1680	0.0	1747	100	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE8883447.1 hypothetical protein PF003_g32520 [Phytophthora fragariae]
Pcub-MSU1_004_001125.1	CAI5732132.1	63.1	1689	1705	1687	0.0	1740	96.8	134698	Oomycota	Peronospora	Peronospora farinosa	CAI5732132.1 unnamed protein product [Peronospora farinosa]
Pcub-MSU1_004_001125.1	KAE9362472.1	64.0	1736	1705	1699	0.0	1731	100	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE9362472.1 hypothetical protein PF008_g58 [Phytophthora fragariae]
Pcub-MSU1_004_001125.1	CAH0520597.1	61.7	1727	1705	1690	0.0	1725	99.9	622444	Oomycota	Peronospora	Peronospora belbahrii	CAH0520597.1 unnamed protein product [Peronospora belbahrii]
Pcub-MSU1_004_001125.1	CAI5712028.1	60.9	1743	1705	1687	0.0	1716	99.9	86335	Oomycota	Peronospora	Peronospora destructor	CAI5712028.1 unnamed protein product [Peronospora destructor]
Pcub-MSU1_004_001125.1	CAH0473961.1	60.7	1725	1705	1663	0.0	1712	99.9	622444	Oomycota	Peronospora	Peronospora belbahrii	CAH0473961.1 unnamed protein product [Peronospora belbahrii]
Pcub-MSU1_004_001125.1	CAI5711307.1	62.6	1689	1705	1685	0.0	1700	96.8	542832	Oomycota	Peronospora	Peronospora effusa	CAI5711307.1 unnamed protein product [Peronospora effusa]
Pcub-MSU1_004_001125.1	ETP36561.1	63.2	1729	1705	1643	0.0	1691	100	1317064	Oomycota	Phytophthora	Phytophthora nicotianae	ETP36561.1 hypothetical protein F442_15540 [Phytophthora nicotianae P10297]
Pcub-MSU1_004_001125.1	KAG1693695.1	64.3	1719	1705	1656	0.0	1679	100	4784	Oomycota	Phytophthora	Phytophthora capsici	KAG1693695.1 hypothetical protein DVH05_023097 [Phytophthora capsici]
Pcub-MSU1_004_001125.1	OWZ13955.1	62.9	1726	1705	1663	0.0	1675	100	4795	Oomycota	Phytophthora	Phytophthora megakarya	OWZ13955.1 hypothetical protein PHMEG_00012635 [Phytophthora megakarya]
Pcub-MSU1_004_001125.1	ETO67383.1	62.9	1714	1705	1643	0.0	1670	100	1317066	Oomycota	Phytophthora	Phytophthora nicotianae	ETO67383.1 hypothetical protein F444_15683 [Phytophthora nicotianae P1976]
Pcub-MSU1_004_001125.1	ETP08536.1	62.8	1714	1705	1643	0.0	1669	100	1317063	Oomycota	Phytophthora	Phytophthora nicotianae	ETP08536.1 hypothetical protein F441_15524 [Phytophthora nicotianae CJ01A1]
Pcub-MSU1_004_001125.1	ETI38628.1	62.8	1714	1705	1643	0.0	1668	100	1317065	Oomycota	Phytophthora	Phytophthora nicotianae	ETI38628.1 hypothetical protein F443_15705 [Phytophthora nicotianae P1569]
Pcub-MSU1_004_001125.1	ETM38657.1	62.8	1714	1705	1643	0.0	1667	100	4792	Oomycota	Phytophthora	Phytophthora nicotianae	ETM38657.1 hypothetical protein L914_15102 [Phytophthora nicotianae]
Pcub-MSU1_004_000038.1	KAG6618596.1	97.1	205	206	205	4.90e-133	375	99.5	4785	Oomycota	Phytophthora	Phytophthora cinnamomi	KAG6618596.1 60S ribosomal protein L13 [Phytophthora cinnamomi]
Pcub-MSU1_004_000038.1	KAG6618595.1	97.1	205	206	211	6.06e-133	375	99.5	4785	Oomycota	Phytophthora	Phytophthora cinnamomi	KAG6618595.1 60S ribosomal protein L13 [Phytophthora cinnamomi]
Pcub-MSU1_004_000038.1	XP_009538854.1	97.1	205	206	205	9.88e-133	375	99.5	67593	Oomycota	Phytophthora	Phytophthora sojae	XP_009538854.1 hypothetical protein PHYSODRAFT_356191 [Phytophthora sojae]
Pcub-MSU1_004_000038.1	CAI5743812.1	95.6	206	206	206	2.07e-132	374	100	86335	Oomycota	Peronospora	Peronospora destructor	CAI5743812.1 unnamed protein product [Peronospora destructor]
Pcub-MSU1_004_000038.1	CAH0490553.1	95.6	206	206	206	2.94e-132	374	100	134698	Oomycota	Peronospora	Peronospora farinosa	CAH0490553.1 unnamed protein product [Peronospora farinosa]
Pcub-MSU1_004_000038.1	KAK1944617.1	96.1	206	206	206	1.70e-131	372	100	4793	Oomycota	Phytophthora	Phytophthora citrophthora	KAK1944617.1 60S ribosomal protein L13-1 [Phytophthora citrophthora]
Pcub-MSU1_004_000038.1	GMF34154.1	95.6	205	206	205	2.33e-131	371	99.5	1490495	Oomycota	Phytophthora	Phytophthora fragariaefolia	GMF34154.1 unnamed protein product [Phytophthora fragariaefolia]
Pcub-MSU1_004_000038.1	CAI5711302.1	95.1	206	206	206	2.41e-131	371	100	542832	Oomycota	Peronospora	Peronospora effusa	CAI5711302.1 unnamed protein product [Peronospora effusa]
Pcub-MSU1_004_000038.1	KAE9141738.1	96.6	205	206	235	3.34e-131	372	99.5	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE9141738.1 hypothetical protein PF007_g14 [Phytophthora fragariae]
Pcub-MSU1_004_000038.1	KAG1693694.1	96.1	206	206	206	3.42e-131	371	100	4784	Oomycota	Phytophthora	Phytophthora capsici	KAG1693694.1 hypothetical protein DVH05_023096 [Phytophthora capsici]
Pcub-MSU1_004_000038.1	KAE9031447.1	96.6	205	206	237	3.59e-131	372	99.5	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE9031447.1 hypothetical protein PF011_g68 [Phytophthora fragariae]
Pcub-MSU1_004_000038.1	KAE8883350.1	96.6	205	206	237	3.59e-131	372	99.5	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE8883350.1 hypothetical protein PF003_g32519 [Phytophthora fragariae]
Pcub-MSU1_004_000038.1	KAI9994887.1	96.1	205	206	205	6.67e-131	370	99.5	4787	Oomycota	Phytophthora	Phytophthora infestans	KAI9994887.1 hypothetical protein PInf_011727 [Phytophthora infestans]
Pcub-MSU1_004_000038.1	KAE9051193.1	95.6	205	206	205	1.91e-130	369	99.5	129364	Oomycota	Phytophthora	Phytophthora rubi	KAE9051193.1 hypothetical protein PR001_g1671 [Phytophthora rubi]
Pcub-MSU1_004_000038.1	XP_002905546.1	95.6	205	206	205	1.91e-130	369	99.5	4787;403677	Oomycota	Phytophthora	Phytophthora infestans	XP_002905546.1 60S ribosomal protein L13, putative [Phytophthora infestans T30-4]
