id	source	Description	rnaseq_gene_count_Pcub_MSU1_3dpi	rnaseq_gene_count_Pcub_MSU1_4dpi	rnaseq_gene_count_Pcub_MSU1_5dpi	rnaseq_gene_count_Pcub_MSU1_6dpi
Pcub-MSU1_001_000097.1	eggnog	domain-containing protein	11	9	9	55
Pcub-MSU1_001_000870.1	eggnog	WD domain, G-beta repeat	21	21	84	104
Pcub-MSU1_001_000098.1	eggnog	Peptidase family S51	14	17	35	26
Pcub-MSU1_001_000869.1	eggnog	HEAT repeat	162	333	357	534
Pcub-MSU1_001_000099.1	eggnog	Protein of unknown function (DUF2009)	16.079	24.376	42.851	58.924
Pcub-MSU1_001_000100.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_001_000101.1	eggnog	Concanavalin A-like lectin/glucanases superfamily	2	0	2	0
Pcub-MSU1_001_000102.1	eggnog	Protein of unknown function (DUF2009)	10.921	4.624	21.149	13.076
Pcub-MSU1_001_000868.1	eggnog	domain-containing protein	4	12	15	24
Pcub-MSU1_001_000867.1	eggnog	Domain present in PSD-95, Dlg, and ZO-1/2	32	16	56	77
Pcub-MSU1_001_000103.1	eggnog	domain-containing protein	65	59	131	210
Pcub-MSU1_001_000866.1	eggnog	Domain present in PSD-95, Dlg, and ZO-1/2	69	43	116	186
Pcub-MSU1_001_000104.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues	0	0	2.203	1.035
Pcub-MSU1_001_000865.1	eggnog	domain-containing protein	0	1	10	3
Pcub-MSU1_001_000864.1	eggnog	cyclic nucleotide-gated ion channel activity	0	5	3	1
Pcub-MSU1_001_000863.1	eggnog	Ion transport protein	5	5	5	20
Pcub-MSU1_001_000862.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues	7	12	16.797	39.965
Pcub-MSU1_001_000861.1	eggnog	Protein of unknown function (DUF1336)	6	8	15	10
Pcub-MSU1_001_000860.1	eggnog	Protein of unknown function (DUF1336)	6	0	2	0
Pcub-MSU1_001_000105.1	eggnog	Protein tyrosine kinase	24	49	77	93
Pcub-MSU1_001_000859.1	eggnog	domain-containing protein	82	130	194	270
Pcub-MSU1_001_000106.1	eggnog	domain-containing protein	1090	930	1358	1935
Pcub-MSU1_001_000107.1	eggnog	M42 glutamyl aminopeptidase	189	150	320	535
Pcub-MSU1_001_000858.1	interproscan	G3DSA:2.30.29.30 domain-containing protein	0	0	6	9
Pcub-MSU1_001_000857.1	eggnog	Belongs to the enoyl-CoA hydratase isomerase family	197	234	628	759
Pcub-MSU1_001_000108.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ21725.1	1	0	7	11
Pcub-MSU1_001_000856.1	eggnog	Extension to Ser/Thr-type protein kinases	0	0	2	11
Pcub-MSU1_001_000855.1	eggnog	domain-containing protein	56	130	242	325
Pcub-MSU1_001_000854.1	eggnog	domain-containing protein	50	62	136	150
Pcub-MSU1_001_000853.1	blastp	Homology to Phytophthora lilii predicted protein GMF30498.1	12	11	8	17
Pcub-MSU1_001_000852.1	eggnog	domain-containing protein	10	10	47	43
Pcub-MSU1_001_000851.1	eggnog	Uracil phosphoribosyltransferase	36	52	102	108
